Unnamed: 0,trace_name,network_code,receiver_code,receiver_type,source_origin_time,trace_start_time,receiver_latitude,receiver_longitude,receiver_elevation_m
235427,109C.TA_20061103155652_EV,TA,109C,BH,2006-11-03 15:56:42.73,2006-11-03 15:56:53.610000,32.8889,-117.1051,150.0
235432,109C.TA_20061129211102_EV,TA,109C,BH,2006-11-29 21:10:55.02,2006-11-29 21:11:03.890000,32.8889,-117.1051,150.0
235434,109C.TA_20061129221547_EV,TA,109C,BH,2006-11-29 22:15:38.65,2006-11-29 22:15:48.630000,32.8889,-117.1051,150.0
235437,109C.TA_20070209033349_EV,TA,109C,BH,2007-02-09 03:33:42.80,2007-02-09 03:33:50.600000,32.8889,-117.1051,150.0
235441,109C.TA_20070415225732_EV,TA,109C,BH,2007-04-15 22:57:25.78,2007-04-15 22:57:33.940000,32.8889,-117.1051,150.0
235493,109C.TA_20070904144754_EV,TA,109C,BH,2007-09-04 14:47:59.43,2007-09-04 14:47:55.340000,32.8889,-117.1051,150.0
235573,109C.TA_20080509223813_EV,TA,109C,BH,2008-05-09 22:38:07.38,2008-05-09 22:38:14.430000,32.8889,-117.1051,150.0
235595,109C.TA_20090129084207_EV,TA,109C,BH,2009-01-29 08:41:58.30,2009-01-29 08:42:08.040000,32.8889,-117.1051,150.0
235598,109C.TA_20090416175534_EV,TA,109C,BH,2009-04-16 17:55:30.64,2009-04-16 17:55:35.470000,32.8889,-117.1051,150.0
235601,109C.TA_20100201141955_EV,TA,109C,BH,2010-02-01 14:19:49.57,2010-02-01 14:19:56.680000,32.8889,-117.1051,150.0
235603,109C.TA_20100309041828_EV,TA,109C,BH,2010-03-09 04:18:20.97,2010-03-09 04:18:29.300000,32.8889,-117.1051,150.0
235607,109C.TA_20100615045957_EV,TA,109C,BH,2010-06-15 04:59:45.87,2010-06-15 04:59:58.270000,32.8889,-117.1051,150.0
235608,109C.TA_20100707235339_EV,TA,109C,BH,2010-07-07 23:53:34.28,2010-07-07 23:53:40.100000,32.8889,-117.1051,150.0
235618,109C.TA_20130311165610_EV,TA,109C,BH,2013-03-11 16:56:05.86,2013-03-11 16:56:11.850000,32.8889,-117.1051,150.0
235619,109C.TA_20130311165615_EV,TA,109C,BH,2013-03-11 16:56:05.86,2013-03-11 16:56:16.850000,32.8889,-117.1051,150.0
235623,109C.TA_20130417025820_EV,TA,109C,BH,2013-04-17 02:57:56.65,2013-04-17 02:58:21.700000,32.8889,-117.1051,150.0
235628,109C.TA_20130603190424_EV,TA,109C,BH,2013-06-03 19:04:09.61,2013-06-03 19:04:25.140000,32.8889,-117.1051,150.0
235635,109C.TA_20130724164640_EV,TA,109C,BH,2013-07-24 16:46:01.75,2013-07-24 16:46:41.790000,32.8889,-117.1051,150.0
235643,109C.TA_20130825185103_EV,TA,109C,BH,2013-08-25 18:50:28.21,2013-08-25 18:51:04.820000,32.8889,-117.1051,150.0
235652,109C.TA_20130914102556_EV,TA,109C,BH,2013-09-14 10:25:35.66,2013-09-14 10:25:57.830000,32.8889,-117.1051,150.0
235653,109C.TA_20130914102558_EV,TA,109C,BH,2013-09-14 10:25:35.66,2013-09-14 10:25:59.760000,32.8889,-117.1051,150.0
235658,109C.TA_20130919120646_EV,TA,109C,BH,2013-09-19 12:06:33.11,2013-09-19 12:06:47.920000,32.8889,-117.1051,150.0
235663,109C.TA_20131006020648_EV,TA,109C,BH,2013-10-06 02:06:21.82,2013-10-06 02:06:49.710000,32.8889,-117.1051,150.0
235680,109C.TA_20140115093533_EV,TA,109C,BH,2014-01-15 09:35:19.48,2014-01-15 09:35:34.250000,32.8889,-117.1051,150.0
235695,109C.TA_20140305022455_EV,TA,109C,BH,2014-03-05 02:24:23.39,2014-03-05 02:24:56.010000,32.8889,-117.1051,150.0
235699,109C.TA_20140315151247_EV,TA,109C,BH,2014-03-15 15:12:19.37,2014-03-15 15:12:48.590000,32.8889,-117.1051,150.0
